t,x,v,a,A_theory
0.0,3.9994,-0.06,-6.0,1.7888543819998317
0.01,3.9985015600000002,-0.11960490559583334,-5.95218111916667,1.7888543819998317
0.02,3.9970086459107232,-0.17889026679779937,-5.919771574024452,1.7888543819998317
0.03,3.994924494635491,-0.23784783431330325,-5.8865413580113835,1.7888543819998317
0.04,3.992252425042127,-0.29646946512185557,-5.852501157094105,1.7888543819998317
0.05,3.988995836895698,-0.3547471233712626,-5.817661745680033,1.7888543819998317
0.06,3.9851582097824196,-0.4126728812479943,-5.782033984030511,1.7888543819998317
0.07,3.980743102024986,-0.4702389198217052,-5.74562881567174,1.7888543819998317
0.08,3.9757541495895876,-0.527437529863888,-5.708457264804002,1.7888543819998317
0.09,3.9701950649848667,-0.5842611126406464,-5.670530433709696,1.7888543819998317
0.1,3.964069636153079,-0.6407021806795771,-5.6318595001607195,1.7888543819998317
0.11,3.9573817253537125,-0.6967533585107573,-5.592455714825717,1.7888543819998317
0.12,3.950135268039828,-0.7524073833818391,-5.552330398677698,1.7888543819998317
0.13,3.9423342717273755,-0.8076571059472569,-5.511494940402553,1.7888543819998317
0.14,3.9339828148577505,-0.8624954909315595,-5.469960793808969,1.7888543819998317
0.15,3.9250850456538435,-0.9169156177668831,-5.427739475240262,1.7888543819998317
0.16,3.915645180969847,-0.970910681204587,-5.384842560988618,1.7888543819998317
0.17,3.9056675051350718,-1.024473991901079,-5.341281684712263,1.7888543819998317
0.18,3.895156368792036,-1.0775989769778616,-5.297068534856038,1.7888543819998317
0.19,3.8841161877290817,-1.1302791805558354,-5.252214852075895,1.7888543819998317
0.2,3.872551441707776,-1.1825082642639029,-5.206732426667787,1.7888543819998317
0.21,3.860466673285357,-1.2342800077219158,-5.1606330960014635,1.7888543819998317
0.22,3.8478664866324745,-1.2855883089980211,-5.113928741959627,1.7888543819998317
0.23,3.8347555463464893,-1.3364271850404597,-5.066631288382956,1.7888543819998317
0.24,3.8211385762605765,-1.386790772083877,-5.0187526985214586,1.7888543819998317
0.25,3.807020358248899,-1.436673326030216,-4.970304972492633,1.7888543819998317
0.26,3.7924057310280936,-1.4860692228042576,-4.921300144746899,1.7888543819998317
0.27,3.777299588955332,-1.5349729586838867,-4.871750281540791,1.7888543819998317
0.28,3.7617068808232013,-1.583379150605163,-4.821667478418325,1.7888543819998317
0.29,3.7456326086516634,-1.6312825364422796,-4.771063857701045,1.7888543819998317
0.3,3.7290818264773375,-1.6786779752624994,-4.719951565987182,1.7888543819998317
0.31,3.712059639140359,-1.7255604475561623,-4.6683427716603605,1.7888543819998317
0.32,3.694571201069061,-1.7719250554418602,-4.616249662408331,1.7888543819998317
0.33,3.6766217150627294,-1.8177670228468823,-4.563684442752124,1.7888543819998317
0.34,3.6582164310726784,-1.863081695663039,-4.51065933158611,1.7888543819998317
0.35000000000000003,3.639360644981885,-1.9078645418779714,-4.45718655972935,1.7888543819998317
0.36,3.620059697383439,-1.9521111516820648,-4.4032783674886975,1.7888543819998317
0.37,3.6003189723580395,-1.995817237551085,-4.348947002234053,1.7888543819998317
0.38,3.5801438962507923,-2.0389786343046583,-4.294204715986201,1.7888543819998317
0.39,3.559539936447536,-2.0815912991407277,-4.239063763017626,1.7888543819998317
0.4,3.5385126001509484,-2.1236513116461118,-4.183536397466737,1.7888543819998317
0.41000000000000003,3.517067433156664,-2.1651548737833064,-4.1276348709658786,1.7888543819998317
0.42,3.4952100186296415,-2.2060983098536666,-4.071371430283542,1.7888543819998317
0.43,3.4729459758810193,-2.2464780664371116,-4.014758314981165,1.7888543819998317
