frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,1.548020311094495428e-03,1.998785473683636609e-08,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999991396253458120e+00,1.548058623431768609e-03,4.990186837987213823e-07,-4.752565332158379839e-04,1.529945275596183540e+00,1.530420532129398881e+00,8.768663737118015433e+01
9.999982792506916240e+00,1.548173570596469940e-03,9.975176414284039799e-07,-9.506619309926730337e-04,1.549185214211594941e+00,1.550135876142587632e+00,8.881624337478439202e+01
1.499997418876037436e+01,1.548365183031488734e-03,1.496311894736389611e-06,-1.426365151035777819e-03,1.555079203411221966e+00,1.556505568562257968e+00,8.918119986722797421e+01
1.999996558501383248e+01,1.548633511492693900e-03,1.995382431988040529e-06,-1.902515335073562668e-03,1.557633532011041710e+00,1.559536047346115506e+00,8.935483351144694097e+01
2.499995698126728882e+01,1.548978627079993084e-03,2.494790370365469550e-06,-2.379261889570708898e-03,1.558851293223354029e+00,1.561230555112924412e+00,8.945192165483723556e+01
2.999994837752074872e+01,1.549400621278022557e-03,2.994610321056521819e-06,-2.856754590143883391e-03,1.559400255276808700e+00,1.562257009866952373e+00,8.951073318010418234e+01
3.499993977377420862e+01,1.549899606002798488e-03,3.494920893081528265e-06,-3.335143671997562679e-03,1.559566548362942173e+00,1.562901692034940337e+00,8.954767074745723221e+01
3.999993117002766496e+01,1.550475713662813034e-03,3.995802346417142306e-06,-3.814579914470337795e-03,1.559493168586489897e+00,1.563307748500959882e+00,8.957093606920415141e+01
4.499992256628112131e+01,1.551129097243948620e-03,4.497335834487317839e-06,-4.295214735615623426e-03,1.559259491794778851e+00,1.563554706530394967e+00,8.958508572200764775e+01
4.999991396253457765e+01,1.551859930381731343e-03,4.999603123610465070e-06,-4.777200287702149106e-03,1.558913081851296401e+00,1.563690282138998633e+00,8.959285363218555176e+01
5.499990535878804110e+01,1.552668407466696338e-03,5.502686486135016371e-06,-5.260689557947165716e-03,1.558484149676616859e+00,1.563744839234564310e+00,8.959597952350395644e+01
5.999989675504149744e+01,1.553554743747292445e-03,6.006668666058539364e-06,-5.745836445956866746e-03,1.557992783005917925e+00,1.563738619451874312e+00,8.959562315620632944e+01
6.499988815129495379e+01,1.554519175457092081e-03,6.511632878331065038e-06,-6.232795869642542182e-03,1.557452839371357145e+00,1.563685635241000238e+00,8.959258738454241211e+01
6.999987954754841724e+01,1.555561959945104102e-03,7.017662825137881603e-06,-6.721723862986569986e-03,1.556874170669347412e+00,1.563595894532334274e+00,8.958744562068534378e+01
7.499987094380186647e+01,1.556683375811240963e-03,7.524842721402469192e-06,-7.212777671936908101e-03,1.556263957881968363e+00,1.563476735553905428e+00,8.958061831413027676e+01
7.999986234005532992e+01,1.557883723072500887e-03,8.033257325755563462e-06,-7.706115844997637326e-03,1.555627545256574651e+00,1.563333661101572680e+00,8.957242075185547492e+01
8.499985373630879337e+01,1.559163323336099560e-03,8.542991974869102486e-06,-8.201898341572274806e-03,1.554968980024621805e+00,1.563170878366193950e+00,8.956309398814067890e+01
8.999984513256224261e+01,1.560522519969084016e-03,9.054132619957836831e-06,-8.700286626951391628e-03,1.554291372193511878e+00,1.562991658820463758e+00,8.955282546456407999e+01
