Time,Channel A,Channel B
(ms),(V),(V)

-0.23865500,-0.14526810,0.16464740
-0.21817500,-0.14526810,0.16464740
-0.19769500,-0.12707910,0.16464740
-0.17721500,-0.10889000,0.16464740
-0.15673500,-0.10889000,0.16464740
-0.13625500,-0.09070101,0.16464740
-0.11577500,-0.07257301,0.16464740
-0.09529500,-0.07257301,0.16464740
-0.07481501,-0.05438399,0.16464740
-0.05433501,-0.03619495,0.16464740
-0.03385501,-0.03619495,0.16464740
-0.01337501,-0.01800592,0.16464740
0.00710499,0.00012207,0.16464740
0.02758499,0.00012207,0.11993770
0.04806499,0.01825007,0.16464740
0.06854499,0.03643910,0.16464740
0.08902499,0.03643910,0.11993770
0.10950499,0.07281716,0.16464740
0.12998499,0.09094515,0.16464740
0.15046499,0.09094515,0.16464740
0.17094499,0.12732320,0.16464740
0.19142499,0.14551230,0.16464740
0.21190499,0.14551230,0.20935700
0.23238499,0.18182930,0.20935700
0.25286499,0.18182930,0.20935700
0.27334499,0.21820730,0.20935700
0.29382499,0.21820730,0.20935700
0.31430499,0.23639640,0.20935700
0.33478499,0.25458540,0.20935700
0.35526499,0.27271340,0.20935700
0.37574499,0.29090240,0.20935700
0.39622499,0.29090240,0.16464740
0.41670499,0.30909140,0.16464740
0.43718499,0.32728050,0.16464740
0.45766499,0.32728050,0.16464740
0.47814499,0.36359750,0.16464740
0.49862499,0.36359750,0.16464740
0.51910499,0.38178660,0.16464740
0.53958499,0.39997560,0.16464740
0.56006499,0.39997560,0.16464740
0.58054499,0.41816460,0.11993770
0.60102499,0.39997560,0.11993770
0.62150499,0.43635370,0.11993770
0.64198499,0.43635370,0.11993770
0.66246499,0.43635370,0.11993770
0.68294499,0.43635370,0.07522812
0.70342499,0.43635370,0.07522812
0.72390499,0.45448160,0.11993770
0.74438499,0.45448160,0.07522812
0.76486499,0.45448160,0.07522812
0.78534499,0.47267070,0.07522812
0.80582499,0.47267070,0.03051851
0.82630499,0.47267070,0.03051851
0.84678499,0.47267070,0.03051851
0.86726499,0.47267070,0.03051851
0.88774499,0.47267070,0.03051851
0.90822499,0.47267070,0.03051851
0.92870499,0.47267070,0.03051851
0.94918499,0.47267070,-0.01419111
0.96966499,0.45448160,-0.01419111
0.99014499,0.45448160,-0.01419111
1.01062499,0.45448160,-0.01419111
1.03110499,0.43635370,-0.01419111
1.05158499,0.43635370,-0.01419111
1.07206499,0.43635370,-0.01419111
1.09254499,0.41816460,-0.05890072
1.11302499,0.41816460,-0.01419111
1.13350499,0.39997560,-0.05890072
1.15398499,0.38178660,-0.05890072
1.17446499,0.36359750,-0.10361030
1.19494499,0.36359750,-0.14847250
1.21542499,0.34546950,-0.14847250
1.23590499,0.32728050,-0.14847250
1.25638499,0.30909140,-0.14847250
1.27686499,0.29090240,-0.14847250
1.29734499,0.27271340,-0.14847250
1.31782499,0.23639640,-0.19318220
1.33830499,0.21820730,-0.19318220
1.35878499,0.21820730,-0.19318220
1.37926499,0.18182930,-0.23789180
1.39974499,0.14551230,-0.23789180
1.42022499,0.12732320,-0.23789180
1.44070499,0.10913420,-0.23789180
1.46118499,0.07281716,-0.23789180
1.48166499,0.07281716,-0.23789180
1.50214499,0.03643910,-0.23789180
1.52262499,0.00012207,-0.23789180
1.54310499,-0.01800592,-0.23789180
1.56358498,-0.03619495,-0.23789180
1.58406498,-0.07257301,-0.23789180
1.60454498,-0.09070101,-0.23789180
1.62502498,-0.10889000,-0.23789180
1.64550498,-0.14526810,-0.23789180
1.66598498,-0.16345710,-0.23789180
1.68646498,-0.18158510,-0.23789180
1.70694498,-0.19977420,-0.19318220
1.72742498,-0.23615220,-0.23789180
1.74790498,-0.25434120,-0.23789180
1.76838498,-0.29065830,-0.19318220
1.78886498,-0.29065830,-0.19318220
1.80934498,-0.32703640,-0.19318220
1.82982498,-0.34522540,-0.19318220
1.85030498,-0.36335340,-0.19318220
1.87078498,-0.36335340,-0.19318220
1.89126498,-0.38154240,-0.19318220
1.91174498,-0.39973140,-0.14847250
1.93222498,-0.41792050,-0.14847250
1.95270498,-0.43610950,-0.14847250
1.97318498,-0.43610950,-0.14847250
1.99366498,-0.45423750,-0.14847250
2.01414498,-0.45423750,-0.10361030
2.03462498,-0.47242650,-0.10361030
2.05510498,-0.47242650,-0.05890072
2.07558498,-0.49061550,-0.10361030
2.09606498,-0.49061550,-0.05890072
2.11654498,-0.49061550,-0.05890072
2.13702498,-0.49061550,-0.05890072
2.15750498,-0.49061550,-0.01419111
2.17798498,-0.49061550,0.03051851
2.19846498,-0.49061550,-0.01419111
