frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,9.123392725615310159e-03,3.399475704649043695e-02,-3.141592653589793116e+00,-0.000000000000000000e+00,-3.141592653589793116e+00,-1.800000000000000000e+02
2.225529854147675207e-02,1.182689548825193197e-03,2.593083918476536947e-03,-3.175842904959679913e+00,2.740134625220055908e-01,-2.833328939697901117e+00,-1.623377902169662548e+02
4.451059708295350414e-02,1.116967295647513592e-03,2.653459339917536765e-03,-3.249959429084462670e+00,3.078951192167872497e-02,-3.002436366173445226e+00,-1.720269320383338254e+02
6.676589562443024928e-02,9.866095056836104906e-04,1.631379716380885895e-03,-3.161448940655965600e+00,-1.716998532607948158e-01,2.989749087395172200e+00,1.713000045108328777e+02
8.902119416590700829e-02,9.464100146098333765e-04,2.621759611367887287e-03,-2.825322123368340765e+00,2.976946909446482881e-01,3.123016814312989720e+00,1.789356828085258257e+02
1.112764927073837673e-01,1.045268816681902031e-03,1.783074958161215027e-03,-2.772033053972360328e+00,3.031239106785785786e-01,3.075156964650940239e+00,1.761935154147597586e+02
1.335317912488604986e-01,1.167384298588695479e-03,2.320448131250716153e-03,-2.607445533123444736e+00,1.407331115792469743e-02,2.621518844281370164e+00,1.502019656913357721e+02
1.557870897903372576e-01,1.377481412462923903e-03,2.976139648536332317e-03,-2.695009721511425038e+00,-2.285421610850111585e-01,2.466467560426415240e+00,1.413181815183619392e+02
1.780423883318140166e-01,1.290426770483422839e-03,2.704876287889856207e-03,-2.564489187053332397e+00,-7.858496953402428764e-02,2.485904217519309345e+00,1.424318199376277789e+02
2.002976868732907756e-01,1.223412075350187138e-03,2.897872702807817707e-03,-2.378843114760054167e+00,-1.753167733593561858e-02,2.361311437424118864e+00,1.352931794803718049e+02
2.225529854147675346e-01,1.426102657095122727e-03,3.140983027447633979e-03,-2.279085664847717574e+00,-3.162829178357156601e-01,1.962802747012002635e+00,1.124603134204720050e+02
2.448082839562442659e-01,1.640300956523463652e-03,2.632281216403112648e-03,-2.153738583387904804e+00,-1.700783569628898650e-01,1.983660226425016049e+00,1.136553589621186688e+02
2.670635824977209971e-01,2.208861292577000719e-03,3.836490074780559908e-03,-2.247785713400231256e+00,1.086232322307655873e-01,2.356408945630997120e+00,1.350122873915283890e+02
2.893188810391977839e-01,2.426881472022468945e-03,2.769844339914626866e-03,-2.333026529832308071e+00,-8.578995338519264380e-02,2.247236576447116718e+00,1.287571713978479693e+02
3.115741795806745151e-01,2.591740914678020320e-03,2.582200214617244756e-03,-2.412553300724593619e+00,-3.537998966056351557e-01,2.058753404118959462e+00,1.179578811142075665e+02
3.338294781221513019e-01,2.542046170841042764e-03,3.446352241629151332e-03,-2.384293044551207164e+00,-3.470552752026636045e-01,2.037237769348544614e+00,1.167251260483178612e+02
3.560847766636280332e-01,2.913257827902930933e-03,4.055303339021222239e-03,-2.331591324165951384e+00,-2.552393776892106780e-01,2.076351946476740817e+00,1.189662033168906419e+02
3.783400752051047644e-01,3.362144972060594414e-03,3.796454938810682727e-03,-2.309690292317119198e+00,-1.975874174341256118e-01,2.112102874882995085e+00,1.210145806282433796e+02
4.005953737465815512e-01,3.793138569062204195e-03,3.340651426744135292e-03,-2.345882253889816305e+00,-6.767080198696736604e-01,1.669174234020143865e+00,9.563663888133623914e+01
4.228506722880582824e-01,4.130167347150171149e-03,4.390938573620873503e-03,-2.436931626558905162e+00,-4.590357651994490529e-01,1.977895861359457275e+00,1.133250851722895050e+02
4.451059708295350692e-01,4.573067867131002523e-03,4.400753016576166958e-03,-2.516904663478342297e+00,-5.796536433424800405e-01,1.937251020135863255e+00,1.109963073111982226e+02
4.673612693710118005e-01,4.605039347336944804e-03,5.371552709431841321e-03,-2.475176585914645955e+00,-5.346274146936637051e-01,1.940549171220983249e+00,1.111852774485720943e+02
4.896165679124885317e-01,5.401437118582081039e-03,4.037089685421962025e-03,-2.499938427640608030e+00,-9.530302642926725687e-01,1.546908163347936682e+00,8.863130905417051508e+01
5.118718664539653185e-01,6.092571109687472397e-03,5.294313613165976470e-03,-2.584463449572959259e+00,-8.178037827661099879e-01,1.766659666806849716e+00,1.012221427440207435e+02
5.341271649954419942e-01,6.956185364478516958e-03,6.245835796792085365e-03,-2.684781583881163503e+00,-1.025663984392158889e+00,1.659117599489005945e+00,9.506043616659650297e+01
5.563824635369187810e-01,7.504301219554625028e-03,6.696646361693324272e-03,-2.789406446946832041e+00,-1.135165001010550512e+00,1.654241445936282862e+00,9.478105314776775003e+01
5.786377620783955678e-01,8.185522996956786854e-03,7.741060651267194816e-03,-2.852126975797906194e+00,-1.178031235277192446e+00,1.674095740520714637e+00,9.591862043266513638e+01
6.008930606198723545e-01,9.202475803449627900e-03,9.221874990456157759e-03,-2.941767388014716822e+00,-1.123889903339048590e+00,1.817877484675668454e+00,1.041567075437737913e+02
6.231483591613490303e-01,1.030997224886062713e-02,9.580679205577913998e-03,-3.068873427198977932e+00,-1.416745459212698011e+00,1.652127967986281254e+00,9.465995978113869569e+01
6.454036577028258170e-01,1.127452053023284516e-02,1.082858843207622906e-02,-3.234727570079152681e+00,-1.588870539128499182e+00,1.645857030950656164e+00,9.430066155540509953e+01
6.676589562443026038e-01,1.200788667540496346e-02,1.189174845525172754e-02,-3.378285492009765356e+00,-1.797273377182357246e+00,1.581012114827409887e+00,9.058532153866326553e+01
6.899142547857792795e-01,1.312542702831575800e-02,1.396137481069875848e-02,-3.548415377906689372e+00,-1.955679067814517946e+00,1.592736310092173646e+00,9.125706844552149732e+01
7.121695533272560663e-01,1.418840499514927543e-02,1.552229351450324507e-02,-3.726076241605613681e+00,-2.222574588957003439e+00,1.503501652648611797e+00,8.614429918770974837e+01
7.344248518687328531e-01,1.540960344231225715e-02,1.725046719663784339e-02,-3.953903991987584021e+00,-2.422467556883886708e+00,1.531436435103699534e+00,8.774484432400237210e+01
7.566801504102095288e-01,1.548840529915491981e-02,1.753764858072138014e-02,-4.201719331674102165e+00,-2.725053093826682371e+00,1.476666237847422236e+00,8.460674317811867695e+01
7.789354489516863156e-01,1.593908154627105001e-02,1.944984019588368376e-02,-4.425221343438686894e+00,-3.058915253856716365e+00,1.366306089581972083e+00,7.828357245607037385e+01
8.011907474931631024e-01,1.640162581824308741e-02,1.998216861649437792e-02,-4.703547824314483705e+00,-3.347835857584998465e+00,1.355711966729487461e+00,7.767657392897990576e+01
8.234460460346397781e-01,1.641637051115735907e-02,2.100001131926023529e-02,-5.015114241089669633e+00,-3.696611569065725078e+00,1.318502672023945888e+00,7.554463838369389350e+01
8.457013445761165649e-01,1.580797578849675936e-02,2.241972541704222860e-02,-5.382300854735948548e+00,-4.086981345923918596e+00,1.295319508812032394e+00,7.421634097588830059e+01
8.679566431175933516e-01,1.479808001377401136e-02,2.137255185453484918e-02,-5.752243630676121988e+00,-4.407921077476721905e+00,1.344322553199402082e+00,7.702400860257682780e+01
8.902119416590701384e-01,1.373783373390480636e-02,2.258739822263407943e-02,-6.190925473028089598e+00,-4.954844597058037259e+00,1.236080875970054338e+00,7.082221732991789054e+01
9.124672402005468141e-01,1.287225529890216776e-02,2.146319595327788460e-02,-6.711582303932570603e+00,-5.455443369794074293e+00,1.256138934138498309e+00,7.197145940819763155e+01
9.347225387420236009e-01,1.221314582763088213e-02,2.300627966956017567e-02,-7.316222279225673475e+00,-5.948068207763098414e+00,1.368154071462576171e+00,7.838945401844563321e+01
9.569778372835003877e-01,1.166855448281386293e-02,2.204702101479990781e-02,-8.003600256933021129e+00,-6.627843624169001302e+00,1.375756632764021159e+00,7.882504869450792739e+01
9.792331358249770634e-01,1.220048686152221638e-02,2.323807953193079631e-02,-8.651312737282983889e+00,-7.223246455687974965e+00,1.428066281595009812e+00,8.182217080033501588e+01
1.001488434366453850e+00,1.358767086626288222e-02,2.500072186457067205e-02,-9.304614766189398978e+00,-7.869622701805161213e+00,1.434992064384239763e+00,8.221898892398223779e+01
1.023743732907930637e+00,1.485255995227180784e-02,2.769726275503350474e-02,-9.945643389741405826e+00,-8.570123217529047821e+00,1.375520172212359116e+00,7.881150050287635622e+01
1.045999031449407424e+00,1.556710615484259083e-02,2.856273254687198559e-02,-1.058735352417865094e+01,-9.249575242388555552e+00,1.337778281790096946e+00,7.664904947083550724e+01
1.068254329990883988e+00,1.521376755695966719e-02,2.831695845621619648e-02,-1.122131515075163222e+01,-9.936410465254768454e+00,1.284904685496864873e+00,7.361961555555475911e+01
1.090509628532360775e+00,1.459028392905565609e-02,3.089652628774707671e-02,-1.188633693555048332e+01,-1.064036216068430996e+01,1.245974774866173806e+00,7.138909597959468556e+01
1.112764927073837562e+00,1.352723188341041667e-02,3.128703810038990091e-02,-1.264695679688663255e+01,-1.139781949565605856e+01,1.249137301230575092e+00,7.157029539287373154e+01
1.135020225615314349e+00,1.268386500079827540e-02,3.115500589104494220e-02,-1.353653181514619597e+01,-1.225360429980703003e+01,1.282927515339165270e+00,7.350633205013934912e+01
1.157275524156791136e+00,1.245425263707532204e-02,3.185213928361165653e-02,-1.448854470717611420e+01,-1.316255251186271025e+01,1.325992195313403954e+00,7.597375645874478778e+01
1.179530822698267922e+00,1.331839492853953075e-02,3.196623533427278563e-02,-1.539739228240091862e+01,-1.401203318047022428e+01,1.385359101930695225e+00,7.937522965066284542e+01
1.201786121239744709e+00,1.469863468476589365e-02,3.556949420329424960e-02,-1.626700403981179122e+01,-1.493552814460674405e+01,1.331475895205047388e+00,7.628794931865229501e+01
1.224041419781221274e+00,1.560671370899457955e-02,3.698982521039617666e-02,-1.712986488920114780e+01,-1.586406710614389226e+01,1.265797783057254877e+00,7.252487068619689126e+01
1.246296718322698061e+00,1.481138688278454789e-02,3.869803058082641606e-02,-1.804961334477366819e+01,-1.688614151247101347e+01,1.163471832302654496e+00,6.666202557329478395e+01
1.268552016864174847e+00,1.321746207756292063e-02,3.826802269685017355e-02,-1.903812668627396576e+01,-1.786301363731950786e+01,1.175113048954459671e+00,6.732901815584062888e+01
1.290807315405651634e+00,1.277705407040286706e-02,3.957872736765872396e-02,-2.011781194716613186e+01,-1.887963861973395652e+01,1.238173327432177118e+00,7.094210596753350728e+01
