frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,1.466510240869466379e-03,6.435884461690445646e-02,-3.141592653589793116e+00,-3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.143108705156951378e-02,1.334724084258688591e-03,3.427240043689664100e-03,-2.893709088902177928e+00,-9.701985274532509695e-02,2.796689236156852942e+00,1.602384898414536565e+02
2.286217410313902756e-02,1.660678145587668724e-03,3.573077596856794914e-03,-2.471986051705852727e+00,1.379750999439561393e-02,2.485783561700248168e+00,1.424249068684218855e+02
3.429326115470854308e-02,2.298336878984663049e-03,3.227577672533596658e-03,-2.726687218670798885e+00,1.451269613244287882e-01,2.871814179995227700e+00,1.645428320595498803e+02
4.572434820627805513e-02,2.422902032170817874e-03,3.373477808440726415e-03,-2.787127251129903893e+00,-1.273919255007535944e-01,2.659735325629150271e+00,1.523916087804039989e+02
5.715543525784756718e-02,2.590680405963358569e-03,3.091152476451537734e-03,-2.810909362571207826e+00,6.601626021991643944e-02,2.876925622791123960e+00,1.648356961589772709e+02
6.858652230941708616e-02,2.882037216526956141e-03,3.231993328590754711e-03,-2.895526993664160997e+00,-1.668915084138619109e-01,2.728635485250299642e+00,1.563392971344735543e+02
8.001760936098659127e-02,2.399591701845328346e-03,2.803526122041310846e-03,-3.195574857444922312e+00,-3.688385444872107066e-01,2.826736312957711661e+00,1.619600605288483166e+02
9.144869641255611026e-02,1.945948596556977940e-03,2.889193491754169472e-03,-3.057715937920733040e+00,-3.925842684258416537e-01,2.665131669494891664e+00,1.527007965087123011e+02
1.028797834641256292e-01,1.765816746044063029e-03,4.125386184120023898e-03,-2.944608064161857275e+00,-3.688582916169594883e-01,2.575749772544897898e+00,1.475795910486044136e+02
1.143108705156951344e-01,1.542135642918183568e-03,4.392363488020949863e-03,-2.816586367736774399e+00,-2.631243689958086551e-01,2.553461998740966354e+00,1.463025956748969065e+02
1.257419575672646395e-01,1.463069717345806238e-03,3.488769338080501600e-03,-2.249952587399587589e+00,4.613275394162439508e-02,2.296085341341211450e+00,1.315559994607064027e+02
1.371730446188341723e-01,2.257257834547420679e-03,3.319440377292459752e-03,-2.265869668502191292e+00,-2.253446100434759736e-01,2.040525058458715790e+00,1.169134738403699885e+02
1.486041316704036774e-01,2.565684971633622018e-03,4.583276063945976829e-03,-2.305319338311270005e+00,-3.743230503147566557e-01,1.930996287996513905e+00,1.106379375576286748e+02
1.600352187219731825e-01,2.758736541350755370e-03,4.073807885120975247e-03,-2.336079045573053570e+00,-1.242901761436705776e-01,2.211788869429383464e+00,1.267261673923155740e+02
1.714663057735427154e-01,2.960513350385287311e-03,3.739938291021730095e-03,-2.404835717404402384e+00,-3.417743138557576832e-01,2.063061403548644979e+00,1.182047112996733063e+02
1.828973928251122205e-01,2.918925305435707274e-03,4.454399223058171271e-03,-2.415620032552852070e+00,-2.877650827200930461e-01,2.127854949832759246e+00,1.219171080414386097e+02
1.943284798766817256e-01,2.881585467530453030e-03,3.795402685379038483e-03,-2.347850089716209787e+00,-2.039428619625762718e-01,2.143907227753634182e+00,1.228368358178757944e+02
2.057595669282512585e-01,2.990685160131967887e-03,4.523331243091034508e-03,-2.252139087110079707e+00,-4.263593914353939751e-01,1.825779695674685676e+00,1.046094708828393323e+02
2.171906539798207636e-01,3.321890111935094092e-03,4.099809865788501921e-03,-2.146659360427698005e+00,-1.022075753627532807e-01,2.044451785064945071e+00,1.171384587022086521e+02
2.286217410313902687e-01,4.277506689610623310e-03,5.169216237722668722e-03,-2.242720593029790876e+00,-3.775756868384807508e-01,1.865144906191310126e+00,1.068649313050859178e+02
2.400528280829598016e-01,4.210177921692980461e-03,4.303340555046830662e-03,-2.320944824520984273e+00,-2.908720326681455970e-01,2.030072791852839398e+00,1.163146030775077406e+02
