frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,1.548020311094495428e-03,2.505588713605309539e-08,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999991396253458120e+00,1.548058623431768609e-03,7.483469369081694596e-07,-4.752565332158379839e-04,1.536365352534729833e+00,1.536840609067945396e+00,8.805448068390813887e+01
9.999982792506916240e+00,1.548173570596469940e-03,1.496185637800913335e-06,-9.506619309926730337e-04,1.552162740028362409e+00,1.553113401959354656e+00,8.898684303747637614e+01
1.499997418876037436e+01,1.548365183031488734e-03,2.244406396730711998e-06,-1.426365151035777819e-03,1.556802562254192779e+00,1.558228927405227893e+00,8.927994105551670145e+01
1.999996558501383248e+01,1.548633511492693900e-03,2.993025634328550527e-06,-1.902515335073562668e-03,1.558650974873893036e+00,1.560553490208966387e+00,8.941312869338401015e+01
2.499995698126728882e+01,1.548978627079993084e-03,3.742143797380022688e-06,-2.379261889570708898e-03,1.559382227768668860e+00,1.561761489658239244e+00,8.948234196348147407e+01
2.999994837752074872e+01,1.549400621278022557e-03,4.491875536733782437e-06,-2.856754590143883391e-03,1.559554401013000025e+00,1.562411155603143920e+00,8.951956508021788750e+01
3.499993977377420862e+01,1.549899606002798488e-03,5.242339773794947138e-06,-3.335143671997562679e-03,1.559406600794895459e+00,1.562741744466892957e+00,8.953850642686472838e+01
3.999993117002766496e+01,1.550475713662813034e-03,5.993657258162137839e-06,-3.814579914470337795e-03,1.559058306368125368e+00,1.562872886282595797e+00,8.954602029942219588e+01
4.499992256628112131e+01,1.551129097243948620e-03,6.745949790675455894e-06,-4.295214735615623426e-03,1.558575826314184232e+00,1.562871041049800125e+00,8.954591457537077304e+01
4.999991396253457765e+01,1.551859930381731343e-03,7.499339946215561613e-06,-4.777200287702149106e-03,1.557998882621930647e+00,1.562776082909632658e+00,8.954047387470876629e+01
5.499990535878804110e+01,1.552668407466696338e-03,8.253950978528433287e-06,-5.260689557947165716e-03,1.557352694768158852e+00,1.562613384326106303e+00,8.953115193253995585e+01
5.999989675504149744e+01,1.553554743747292445e-03,9.009906801201710222e-06,-5.745836445956866746e-03,1.556654021877616589e+00,1.562399858323573865e+00,8.951891779377854164e+01
6.499988815129495379e+01,1.554519175457092081e-03,9.767332004013080845e-06,-6.232795869642542182e-03,1.555914416201078954e+00,1.562147212070721158e+00,8.950444222978029529e+01
