# frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg, gain
1.006325720657683087e+04,5.163804679113837004e-01,5.130077460726107687e-03,-2.162184848511606194e+00,-6.688543212339901345e-01,1.493330527277616504e+00,8.556153663105328633e+01,-4.005691768003931941e+01
1.017031313430637238e+04,5.002954319308188236e-01,5.000351699579080531e-03,-2.408918361738925817e+00,-1.181416096971923624e+00,1.227502264767002194e+00,7.033069911389935669e+01,-4.000451971942161578e+01
1.027736906203591207e+04,4.846461978923387592e-01,5.966381334482887336e-03,-2.671166027290375666e+00,-1.143111967224684555e+00,1.528054060065691777e+00,8.755104850959412488e+01,-3.819427605285763150e+01
1.038442498976545357e+04,4.718174846045408155e-01,5.293069907752115735e-03,-2.950483590137889411e+00,-1.647667810645422559e+00,1.302815779492466630e+00,7.464584564796484756e+01,-3.900132801980916497e+01
1.049148091749499326e+04,4.609560488912914922e-01,5.945040780214733492e-03,-3.242807162638264629e+00,-1.712340049009142051e+00,1.530467113629123022e+00,8.768930629451773484e+01,-3.779009360703008724e+01
1.059853684522453477e+04,4.547053109152450201e-01,6.462334082317128074e-03,-3.550024520786994042e+00,-2.015375856622236839e+00,1.534648664164756982e+00,8.792889149203023180e+01,-3.694681241669293570e+01
1.070559277295407628e+04,4.510237937280080489e-01,6.231182935735101423e-03,-3.867382120443016991e+00,-2.359504130182273673e+00,1.507877990260742873e+00,8.639504486260921112e+01,-3.719257904301807116e+01
1.081264870068361597e+04,4.534373239751640083e-01,6.081722612377875314e-03,-4.192513804601944116e+00,-2.622190140648543721e+00,1.570323663953400617e+00,8.997291841404961588e+01,-3.744981314907826686e+01
1.091970462841315748e+04,4.608866653799155166e-01,6.288101268805942716e-03,-4.520383725876850889e+00,-3.093984879960597567e+00,1.426398845916253766e+00,8.172663377333276458e+01,-3.730149231477528105e+01
1.102676055614269717e+04,4.722851307571991897e-01,5.780202384355779752e-03,-4.849087115295573014e+00,-3.301909081349862607e+00,1.547178033945710629e+00,8.864677150043763731e+01,-3.824522455665218956e+01
1.113381648387223868e+04,4.861805493618422402e-01,7.220054310004681702e-03,-5.174460486690070304e+00,-3.533536530208156279e+00,1.640923956481913804e+00,9.401801720832241926e+01,-3.656514231266968551e+01
1.124087241160178019e+04,5.014833532009982386e-01,6.519116065792905992e-03,-5.497105179890904303e+00,-4.054154929894167481e+00,1.442950249996737044e+00,8.267495937216006041e+01,-3.772135615775683704e+01
1.134792833933131988e+04,5.168212804954246398e-01,6.824229724380203622e-03,-5.817983907882282146e+00,-4.255274290573705542e+00,1.562709617308576382e+00,8.953666567628545181e+01,-3.758573499334265478e+01
1.145498426706086138e+04,5.308428081588956182e-01,6.509339758375284717e-03,-6.137762145551557857e+00,-4.573091174859865049e+00,1.564670970691692586e+00,8.964904294727170964e+01,-3.822857995131214182e+01
1.156204019479040107e+04,5.401178855306256743e-01,6.474623309195058109e-03,-6.458714728805496463e+00,-4.934287136467200519e+00,1.524427592338296167e+00,8.734326721427396478e+01,-3.842548104757786120e+01
1.166909612251994258e+04,5.464231116125624066e-01,7.947304566641411397e-03,-6.779714929056367190e+00,-5.197008676876444966e+00,1.582706252179921558e+00,9.068238845887765365e+01,-3.674618406287932970e+01
1.177615205024948227e+04,5.487440130187937193e-01,6.713446442918214775e-03,-7.108587008060736068e+00,-5.648868013249334297e+00,1.459718994811401549e+00,8.363573767777222656e+01,-3.824848532662947775e+01
1.188320797797902378e+04,5.453116550573611221e-01,7.697692965586076276e-03,-7.443685903292600159e+00,-5.909651810735367050e+00,1.534034092557232887e+00,8.789367913271053112e+01,-3.700568390910245853e+01
1.199026390570856529e+04,5.373815914759573209e-01,7.722817391234225448e-03,-7.788627534812309960e+00,-6.417416025859496997e+00,1.371211508952813185e+00,7.856463228276129485e+01,-3.685014038527932456e+01
1.209731983343810498e+04,5.248658697548448382e-01,7.451034539164930193e-03,-8.148131802628121534e+00,-6.617587025068178086e+00,1.530544777559943004e+00,8.769375610997411741e+01,-3.695663512845536047e+01
1.220437576116764649e+04,5.109086966617835124e-01,7.354352123241494031e-03,-8.524335175305612466e+00,-7.187302215472032074e+00,1.337032959833579726e+00,7.660634566834863790e+01,-3.683597750837144957e+01
