# f,H_in,H_out,G_ideal,G_theo,phi_ideal,phi_theo
1.000000000000000000e+03,5.059299050240180229e-01,2.072328725513975303e-03,-5.818438302296436149e+01,-4.775263407789329051e+01,8.992938392233736522e+01,1.729850765714985172e+01
1.000460669150363060e+03,5.059299059934354581e-01,2.072415249983802950e-03,-5.818037946771558211e+01,-4.775227144632438581e+01,8.992935136600880242e+01,1.730598900749935964e+01
1.000921550516793332e+03,5.059299069637476221e-01,2.072501850698058902e-03,-5.817637590955796867e+01,-4.775190851036960993e+01,8.992931879464696010e+01,1.731347317895547988e+01
1.001382644197050013e+03,5.059299079349549588e-01,2.072588527721004256e-03,-5.817237234848884952e+01,-4.775154526979846281e+01,8.992928620824497443e+01,1.732096017205691751e+01
1.001843950288940619e+03,5.059299089070583566e-01,2.072675281116951283e-03,-5.816836878450553172e+01,-4.775118172438028807e+01,8.992925360679576841e+01,1.732844998734183406e+01
1.002305468890317570e+03,5.059299098800590366e-01,2.072762110950262127e-03,-5.816436521760532941e+01,-4.775081787388434407e+01,8.992922099029246397e+01,1.733594262534780128e+01
1.002767200099075581e+03,5.059299108539572210e-01,2.072849017285344035e-03,-5.816036164778556383e+01,-4.775045371807969730e+01,8.992918835872796990e+01,1.734343808661175856e+01
1.003229144013158248e+03,5.059299118287542418e-01,2.072936000186659765e-03,-5.815635807504351362e+01,-4.775008925673532190e+01,8.992915571209537973e+01,1.735093637167009462e+01
1.003691300730550211e+03,5.059299128044506544e-01,2.073023059718716310e-03,-5.815235449937652135e+01,-4.774972448962003568e+01,8.992912305038764487e+01,1.735843748105856932e+01
1.004153670349284653e+03,5.059299137810473468e-01,2.073110195946073573e-03,-5.814835092078186563e+01,-4.774935941650254279e+01,8.992909037359784463e+01,1.736594141531236346e+01
1.004616252967439436e+03,5.059299147585452072e-01,2.073197408933338294e-03,-5.814434733925683929e+01,-4.774899403715139812e+01,8.992905768171888781e+01,1.737344817496608229e+01
1.005079048683134943e+03,5.059299157369452349e-01,2.073284698745169255e-03,-5.814034375479877070e+01,-4.774862835133504291e+01,8.992902497474383949e+01,1.738095776055367736e+01
1.005542057594539529e+03,5.059299167162477628e-01,2.073372065446271208e-03,-5.813634016740492427e+01,-4.774826235882176917e+01,8.992899225266567953e+01,1.738847017260854955e+01
1.006005279799866912e+03,5.059299176964542344e-01,2.073459509101403982e-03,-5.813233657707259283e+01,-4.774789605937974102e+01,8.992895951547738775e+01,1.739598541166350998e+01
1.006468715397373103e+03,5.059299186775650936e-01,2.073547029775369473e-03,-5.812833298379909763e+01,-4.774752945277698046e+01,8.992892676317197242e+01,1.740350347825070898e+01
1.006932364485363337e+03,5.059299196595812287e-01,2.073634627533026391e-03,-5.812432938758168177e+01,-4.774716253878141003e+01,8.992889399574241338e+01,1.741102437290177107e+01
1.007396227162183891e+03,5.059299206425034168e-01,2.073722302439279415e-03,-5.812032578841767361e+01,-4.774679531716078174e+01,8.992886121318169046e+01,1.741854809614761734e+01
1.007860303526229700e+03,5.059299216263328791e-01,2.073810054559082662e-03,-5.811632218630434465e+01,-4.774642778768273388e+01,8.992882841548276929e+01,1.742607464851867860e+01
1.008324593675940832e+03,5.059299226110698378e-01,2.073897883957441426e-03,-5.811231858123893801e+01,-4.774605995011475557e+01,8.992879560263865812e+01,1.743360403054472485e+01
1.008789097709799762e+03,5.059299235967155139e-01,2.073985790699410438e-03,-5.810831497321877492e+01,-4.774569180422422221e+01,8.992876277464229418e+01,1.744113624275489371e+01
1.009253815726337280e+03,5.059299245832710179e-01,2.074073774850093005e-03,-5.810431136224111981e+01,-4.774532334977837422e+01,8.992872993148667149e+01,1.744867128567775794e+01
1.009718747824129650e+03,5.059299255707365717e-01,2.074161836474643604e-03,-5.810030774830322287e+01,-4.774495458654430990e+01,8.992869707316475569e+01,1.745620915984130761e+01
1.010183894101795431e+03,5.059299265591131745e-01,2.074249975638266588e-03,-5.809630413140237692e+01,-4.774458551428899966e+01,8.992866419966949820e+01,1.746374986577282939e+01
1.010649254658002860e+03,5.059299275484021585e-01,2.074338192406213581e-03,-5.809230051153583929e+01,-4.774421613277928600e+01,8.992863131099386464e+01,1.747129340399910902e+01
1.011114829591461216e+03,5.059299285386038569e-01,2.074426486843789549e-03,-5.808829688870088148e+01,-4.774384644178186932e+01,8.992859840713082065e+01,1.747883977504622521e+01
1.011580619000928664e+03,5.059299295297192689e-01,2.074514859016347162e-03,-5.808429326289477501e+01,-4.774347644106331501e+01,8.992856548807328920e+01,1.748638897943970960e+01
1.012046622985208614e+03,5.059299305217491716e-01,2.074603308989291135e-03,-5.808028963411474876e+01,-4.774310613039007478e+01,8.992853255381425015e+01,1.749394101770447207e+01
1.012512841643146999e+03,5.059299315146946752e-01,2.074691836828072584e-03,-5.807628600235808847e+01,-4.774273550952845113e+01,8.992849960434662648e+01,1.750149589036477238e+01
1.012979275073638519e+03,5.059299325085563348e-01,2.074780442598197702e-03,-5.807228236762203721e+01,-4.774236457824460444e+01,8.992846663966338383e+01,1.750905359794428051e+01
1.013445923375623124e+03,5.059299335033350387e-01,2.074869126365217354e-03,-5.806827872990383810e+01,-4.774199333630458852e+01,8.992843365975745940e+01,1.751661414096609093e+01
1.013912786648083511e+03,5.059299344990316749e-01,2.074957888194734878e-03,-5.806427508920076974e+01,-4.774162178347430796e+01,8.992840066462179038e+01,1.752417751995258755e+01
