# Time,Input,Output
0.0,-2.0,-1e-08
0.001,-1.996,-1e-08
0.002,-1.992,-1e-08
0.003,-1.988,-1e-08
0.004,-1.984,-1e-08
0.005,-1.98,-1e-08
0.006,-1.976,-1e-08
0.007,-1.972,-1e-08
0.008,-1.968,-1e-08
0.009000000000000001,-1.964,-1e-08
0.01,-1.96,-1e-08
0.011,-1.956,-1e-08
0.012,-1.952,-1e-08
0.013000000000000001,-1.948,-1e-08
0.014,-1.944,-1e-08
0.015,-1.94,-1e-08
0.016,-1.936,-1e-08
0.017,-1.932,-1e-08
0.018000000000000002,-1.928,-1e-08
0.019,-1.924,-1e-08
0.02,-1.92,-1e-08
0.021,-1.916,-1e-08
0.022,-1.912,-1e-08
0.023,-1.908,-1e-08
0.024,-1.904,-1e-08
0.025,-1.9,-1e-08
0.026000000000000002,-1.896,-1e-08
0.027,-1.892,-1e-08
0.028,-1.888,-1e-08
0.029,-1.884,-1e-08
0.03,-1.88,-1e-08
0.031,-1.8760000000000001,-1e-08
0.032,-1.8719999999999999,-1e-08
0.033,-1.8679999999999999,-9.999999999999999e-09
0.034,-1.8639999999999999,-9.999999999999999e-09
0.035,-1.8599999999999999,-9.999999999999999e-09
0.036000000000000004,-1.8559999999999999,-9.999999999999999e-09
0.037,-1.852,-9.999999999999999e-09
0.038,-1.848,-9.999999999999999e-09
0.039,-1.844,-9.999999999999999e-09
0.04,-1.84,-9.999999999999999e-09
0.041,-1.836,-9.999999999999999e-09
0.042,-1.832,-9.999999999999999e-09
0.043000000000000003,-1.828,-9.999999999999999e-09
0.044,-1.824,-9.999999999999999e-09
0.045,-1.82,-9.999999999999999e-09
0.046,-1.816,-9.999999999999999e-09
0.047,-1.812,-9.999999999999999e-09
0.048,-1.808,-9.999999999999999e-09
0.049,-1.804,-9.999999999999999e-09
0.05,-1.8,-9.999999999999999e-09
0.051000000000000004,-1.796,-9.999999999999999e-09
0.052000000000000005,-1.792,-9.999999999999999e-09
0.053,-1.788,-9.999999999999997e-09
0.054,-1.784,-9.999999999999997e-09
0.055,-1.78,-9.999999999999997e-09
0.056,-1.776,-9.999999999999997e-09
0.057,-1.772,-9.999999999999997e-09
0.058,-1.768,-9.999999999999997e-09
0.059000000000000004,-1.764,-9.999999999999997e-09
0.06,-1.76,-9.999999999999995e-09
0.061,-1.756,-9.999999999999995e-09
0.062,-1.752,-9.999999999999995e-09
0.063,-1.748,-9.999999999999994e-09
0.064,-1.744,-9.999999999999994e-09
0.065,-1.74,-9.999999999999992e-09
0.066,-1.736,-9.999999999999992e-09
0.067,-1.732,-9.999999999999992e-09
0.068,-1.728,-9.99999999999999e-09
0.069,-1.724,-9.999999999999989e-09
0.07,-1.72,-9.999999999999989e-09
0.07100000000000001,-1.716,-9.999999999999989e-09
0.07200000000000001,-1.712,-9.999999999999987e-09
0.073,-1.708,-9.999999999999987e-09
0.074,-1.704,-9.999999999999985e-09
0.075,-1.7,-9.999999999999984e-09
0.076,-1.696,-9.99999999999998e-09
0.077,-1.692,-9.99999999999998e-09
0.078,-1.688,-9.999999999999979e-09
0.079,-1.684,-9.999999999999977e-09
0.08,-1.68,-9.999999999999974e-09
0.081,-1.676,-9.999999999999974e-09
0.082,-1.672,-9.99999999999997e-09
0.083,-1.6680000000000001,-9.999999999999969e-09
0.084,-1.664,-9.999999999999965e-09
