time,input_v,output_v
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999909e-06,1.000000000000000021e-02,0.000000000000000000e+00
3.999999999999999819e-06,2.000000000000000042e-02,0.000000000000000000e+00
6.000000000000000152e-06,2.999999999999999889e-02,0.000000000000000000e+00
7.999999999999999638e-06,4.000000000000000083e-02,3.288224387265614918e-17
1.000000000000000082e-05,5.000000000000000278e-02,2.124173894110738549e-16
1.200000000000000030e-05,5.999999999999999778e-02,8.035354244331457272e-16
1.399999999999999979e-05,7.000000000000000666e-02,2.325368178497491827e-15
1.599999999999999928e-05,8.000000000000000167e-02,5.702518504062348580e-15
1.800000000000000046e-05,8.999999999999999667e-02,1.248728008662481565e-14
2.000000000000000164e-05,1.000000000000000056e-01,2.518619841345432962e-14
2.199999999999999943e-05,1.099999999999999867e-01,4.773999133180960302e-14
2.400000000000000061e-05,1.199999999999999956e-01,8.622869152872761417e-14
2.599999999999999840e-05,1.300000000000000044e-01,1.499071763331139408e-13
2.799999999999999958e-05,1.400000000000000133e-01,2.527244603324568203e-13
3.000000000000000076e-05,1.499999999999999944e-01,4.155495879218676110e-13
3.199999999999999855e-05,1.600000000000000033e-01,6.694257965998612734e-13
3.399999999999999973e-05,1.700000000000000122e-01,1.060313101031306942e-12
3.600000000000000091e-05,1.799999999999999933e-01,1.655968927619254734e-12
3.800000000000000209e-05,1.900000000000000022e-01,2.555866728916578043e-12
4.000000000000000327e-05,2.000000000000000111e-01,3.905366088421649760e-12
4.199999999999999768e-05,2.099999999999999645e-01,5.915709819529321408e-12
4.399999999999999886e-05,2.199999999999999734e-01,8.891788951157485605e-12
4.600000000000000004e-05,2.299999999999999822e-01,1.326990135739611206e-11
4.800000000000000122e-05,2.399999999999999911e-01,1.966782083087784826e-11
5.000000000000000240e-05,2.500000000000000000e-01,2.894928783836471766e-11
5.199999999999999680e-05,2.600000000000000089e-01,4.230450001811432981e-11
5.399999999999999798e-05,2.700000000000000178e-01,6.134740046138782493e-11
5.599999999999999916e-05,2.800000000000000266e-01,8.822970371692792376e-11
5.800000000000000034e-05,2.899999999999999800e-01,1.257708414777888371e-10
6.000000000000000152e-05,2.999999999999999889e-01,1.776024656133439622e-10
6.200000000000000270e-05,3.099999999999999978e-01,2.483258420678695238e-10
6.399999999999999710e-05,3.200000000000000067e-01,3.436803686327462278e-10
6.600000000000000506e-05,3.300000000000000155e-01,4.707214913019469462e-10
6.799999999999999946e-05,3.400000000000000244e-01,6.380064188542708188e-10
6.999999999999999387e-05,3.499999999999999778e-01,8.557861989136665215e-10
7.200000000000000182e-05,3.599999999999999867e-01,1.136202892114947918e-09
7.399999999999999623e-05,3.699999999999999956e-01,1.493490747660862072e-09
7.600000000000000418e-05,3.800000000000000044e-01,1.944180435430142785e-09
7.799999999999999859e-05,3.900000000000000133e-01,2.507305523929474762e-09
8.000000000000000654e-05,4.000000000000000222e-01,3.204610509644822870e-09
8.200000000000000095e-05,4.100000000000000311e-01,4.060759803037174238e-09
8.399999999999999535e-05,4.199999999999999289e-01,5.103547161349064562e-09
8.600000000000000331e-05,4.300000000000000488e-01,6.364105130585016744e-09
8.799999999999999771e-05,4.399999999999999467e-01,7.877114120342629434e-09
9.000000000000000567e-05,4.500000000000000666e-01,9.681010787283108170e-09
9.200000000000000007e-05,4.599999999999999645e-01,1.181819544742986938e-08
9.399999999999999448e-05,4.699999999999999178e-01,1.433523827539446101e-08
9.600000000000000243e-05,4.799999999999999822e-01,1.728308408109012708e-08
9.799999999999999684e-05,4.899999999999999356e-01,2.071725548239110142e-08
1.000000000000000048e-04,5.000000000000000000e-01,2.469805431624352731e-08
1.019999999999999992e-04,5.100000000000000089e-01,2.929076115153014169e-08
1.039999999999999936e-04,5.200000000000000178e-01,3.456583278504407781e-08
1.060000000000000016e-04,5.300000000000000266e-01,4.059909761764586330e-08
1.079999999999999960e-04,5.400000000000000355e-01,4.747194882140647480e-08
1.100000000000000039e-04,5.500000000000000444e-01,5.527153522057193976e-08
1.119999999999999983e-04,5.600000000000000533e-01,6.409094981976011582e-08
1.140000000000000063e-04,5.700000000000000622e-01,7.402941592211958969e-08
1.160000000000000007e-04,5.799999999999999600e-01,8.519247078841891290e-08
1.179999999999999951e-04,5.899999999999999689e-01,9.769214679533403897e-08
1.200000000000000030e-04,5.999999999999999778e-01,1.116471500576851095e-07
1.219999999999999974e-04,6.099999999999999867e-01,1.271830364851466765e-07
1.240000000000000054e-04,6.199999999999999956e-01,1.444323852491065395e-07
1.259999999999999998e-04,6.300000000000000044e-01,1.635349696399533581e-07
1.279999999999999942e-04,6.400000000000000133e-01,1.846379252991982764e-07
1.299999999999999886e-04,6.499999999999999112e-01,2.078959158145382821e-07
1.320000000000000101e-04,6.600000000000000311e-01,2.334712956692956545e-07
1.340000000000000045e-04,6.700000000000000400e-01,2.615342705406634773e-07
1.359999999999999989e-04,6.800000000000000488e-01,2.922630549438872062e-07
1.379999999999999933e-04,6.899999999999999467e-01,3.258440272219485805e-07
1.399999999999999877e-04,6.999999999999999556e-01,3.624718818825206465e-07
1.420000000000000092e-04,7.100000000000000755e-01,4.023497792859525976e-07
1.440000000000000036e-04,7.199999999999999734e-01,4.456894926898504456e-07
1.459999999999999981e-04,7.299999999999999822e-01,4.927115526574454152e-07
1.479999999999999925e-04,7.399999999999999911e-01,5.436453888384274894e-07
1.499999999999999869e-04,7.500000000000000000e-01,5.987294691322631836e-07
1.520000000000000084e-04,7.600000000000000089e-01,6.582114362452328567e-07
1.540000000000000028e-04,7.700000000000000178e-01,7.223482416535285135e-07
1.559999999999999972e-04,7.800000000000000266e-01,7.914062769857572056e-07
1.579999999999999916e-04,7.900000000000000355e-01,8.656615028391015751e-07
1.600000000000000131e-04,8.000000000000000444e-01,9.453995750442171600e-07
1.620000000000000075e-04,8.100000000000000533e-01,1.030915968394691791e-06
1.640000000000000019e-04,8.200000000000000622e-01,1.122516097857571412e-06
1.659999999999999963e-04,8.299999999999998490e-01,1.220515437282067680e-06
1.679999999999999907e-04,8.399999999999998579e-01,1.325239635624120478e-06
1.700000000000000122e-04,8.500000000000000888e-01,1.437024630704984198e-06
1.720000000000000066e-04,8.600000000000000977e-01,1.556216760522463310e-06
1.740000000000000010e-04,8.699999999999998845e-01,1.683172872133822834e-06
