frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
0.000000000000000000e+00,3.364432406514548252e-02,3.441019885560321623e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999917001377776948e+00,3.372620697063664907e-02,3.448304955448217024e-02,-1.166103797389792113e-01,-1.290784518827547689e-01,-1.246807214377575190e-02,-7.143679125029791521e-01
9.999834002755553897e+00,3.397110945539923849e-02,3.470065987693987664e-02,-2.341431484901364823e-01,-2.591215899363140118e-01,-2.497844144617769949e-02,-1.431159273680634669e+00
1.499975100413332996e+01,3.437676328211937415e-02,3.506018951003075923e-02,-3.535049029070589932e-01,-3.910781675069135432e-01,-3.757326459985457778e-02,-2.152789484099969286e+00
1.999966800551110779e+01,3.493928932505251106e-02,3.555685453915801569e-02,-4.755722448099002353e-01,-5.258666310126647314e-01,-5.029438620276465571e-02,-2.881656062619413206e+00
2.499958500688888563e+01,3.565304900982510516e-02,3.618385244544565504e-02,-6.011805051694893987e-01,-6.643636146427880362e-01,-6.318310947329867922e-02,-3.620125509333064429e+00
2.999950200826665991e+01,3.651043686329209781e-02,3.693225863520462060e-02,-7.311162931516382857e-01,-8.073961832194169741e-01,-7.627989006777870229e-02,-4.370515762605606369e+00
3.499941900964444130e+01,3.750161782474808331e-02,3.779089885272816224e-02,-8.661142573279635437e-01,-9.557381976181826833e-01,-8.962394029021922282e-02,-5.135073521962056020e+00
3.999933601102221559e+01,3.861421781868722147e-02,3.874620632606527032e-02,-1.006857975746288547e+00,-1.110110709252698502e+00,-1.032527335064098856e-01,-5.915945853106308050e+00
4.499925301239998987e+01,3.983298292192823803e-02,3.978207839171046117e-02,-1.153984546331828787e+00,-1.271185941076470316e+00,-1.172013947446415433e-01,-6.715145271914707337e+00
4.999917001377777126e+01,4.113943112253447970e-02,4.087975423010516834e-02,-1.308092266207972365e+00,-1.439594218346240906e+00,-1.315019521382685130e-01,-7.534506855254136326e+00
