Frequency (Hz),Input Amplitude (two-sided),Reference Amplitude (two-sided),Mix Amplitude (two-sided),Output Amplitude (two-sided)
-1032891.2021267092,0.00029318384586741043,7.365241174975204e-05,0.0006031311333008369,8.533460021673808e-05
-1032557.903900789,0.00029318392587926364,7.365243072027572e-05,0.0006031312920032339,8.533462214111435e-05
-1032224.6056748688,0.00029318408590381633,7.365246866136545e-05,0.0006031316093901475,8.533466598988106e-05
-1031891.3074489486,0.00029318432593914323,7.365252557306172e-05,0.0006031320854601471,8.533473176310715e-05
-1031558.0092230284,0.0002931846459867867,7.365260145525513e-05,0.0006031327202281722,8.533481946086366e-05
-1031224.7109971083,0.0002931850460493898,7.365269630837072e-05,0.0006031335136974475,8.533492908327895e-05
-1030891.412771188,0.0002931855261252998,7.3652810132417e-05,0.0006031344658596853,8.533506063049221e-05
-1030558.1145452678,0.00029318608621505546,7.365294292743023e-05,0.0006031355767180592,8.533521410266062e-05
-1030224.8163193476,0.0002931867263201959,7.365309469367561e-05,0.0006031368462769647,8.533538949998662e-05
-1029891.5180934274,0.0002931874464407585,7.365326543133336e-05,0.0006031382745347576,8.53355868226971e-05
-1029558.2198675072,0.00029318824657939747,7.365345514070948e-05,0.0006031398614946793,8.533580607104907e-05
-1029224.9216415869,0.00029318912673611104,7.365366382181995e-05,0.0006031416071595677,8.533604724531764e-05
-1028891.6234156667,0.0002931900869113591,7.36538914750377e-05,0.0006031435115297624,8.533631034581674e-05
-1028558.3251897466,0.00029319112710807753,7.365413810078693e-05,0.0006031455746095738,8.533659537288448e-05
-1028225.0269638264,0.00029319224732710585,7.365440369919996e-05,0.000603147796402185,8.533690232688649e-05
-1027891.7287379062,0.0002931934475692678,7.3654688270841e-05,0.0006031501769090743,8.533723120821353e-05
-1027558.430511986,0.0002931947278389181,7.365499181582676e-05,0.0006031527161335688,8.53375820172978e-05
-1027225.1322860657,0.00029319608813577934,7.365531433471338e-05,0.0006031554140804602,8.53379547545725e-05
-1026891.8340601455,0.0002931975284604592,7.365565582784108e-05,0.0006031582707515947,8.53383494205421e-05
-1026558.5358342254,0.0002931990488189075,7.365601629564615e-05,0.0006031612861508233,8.533876601568556e-05
-1026225.2376083052,0.00029320064920774634,7.36563957389881e-05,0.0006031644602876049,8.533920454056892e-05
-1025891.939382385,0.0002932023296377715,7.365679415727435e-05,0.0006031677931537351,8.53396649957246e-05
-1025558.6411564647,0.0002932040901007737,7.365721155246168e-05,0.0006031712847700806,8.534014738176309e-05
-1025225.3429305445,0.00029320593060648136,7.365764792391967e-05,0.000603174935127225,8.534065169929984e-05
-1024892.0447046243,0.0002932078511590696,7.365810327295947e-05,0.0006031787442422372,8.534117794899213e-05
-1024558.7464787042,0.0002932098517513498,7.365857759935594e-05,0.0006031827121044482,8.534172613149659e-05
-1024225.448252784,0.0002932119323980066,7.365907090483943e-05,0.0006031868387351894,8.53422962475313e-05
-1023892.1500268637,0.00029321409309474467,7.365958318912597e-05,0.0006031911241319111,8.534288829783284e-05
-1023558.8518009435,0.000293216333847773,7.366011445328361e-05,0.0006031955683003153,8.534350228314514e-05
-1023225.5535750233,0.0002932186546567478,7.366066469784548e-05,0.0006032001712483826,8.534413820427952e-05
-1022892.2553491031,0.0002932210555291321,7.366123392360722e-05,0.0006032049329813419,8.534479606203849e-05
-1022558.957123183,0.0002932235364685221,7.366182213136663e-05,0.0006032098535071312,8.534547585725883e-05
-1022225.6588972628,0.00029322609747470854,7.366242932172224e-05,0.0006032149328312948,8.534617759084523e-05
-1021892.3606713425,0.0002932287385533917,7.366305549555434e-05,0.0006032201709596446,8.534690126367474e-05
-1021559.0624454223,0.00029323145970982416,7.366370065358902e-05,0.0006032255679012822,8.534764687667726e-05
-1021225.7642195021,0.0002932342609436196,7.36643647967529e-05,0.000603231123661581,8.534841443082413e-05
-1020892.4659935819,0.00029323714226299014,7.366504792597098e-05,0.0006032368382490562,8.534920392709502e-05
-1020559.1677676617,0.0002932401036721054,7.366575004187464e-05,0.0006032427116711704,8.535001536650451e-05
-1020225.8695417414,0.00029324314517066536,7.366647114562694e-05,0.0006032487439359174,8.535084875008793e-05
-1019892.5713158213,0.00029324626676812456,7.36672112379788e-05,0.0006032549350508532,8.535170407894398e-05
-1019559.2730899011,0.0002932494684680819,7.366797031999274e-05,0.0006032612850255676,8.535258135413381e-05
-1019225.9748639809,0.0002932527502691226,7.366874839265415e-05,0.000603267793866908,8.535348057681694e-05
-1018892.6766380607,0.0002932561121857867,7.366954545690604e-05,0.0006032744615844238,8.53544017481307e-05
-1018559.3784121405,0.00029325955421846293,7.36703615138046e-05,0.0006032812881873677,8.535534486926757e-05
-1018226.0801862202,0.00029326307636312723,7.367119656437053e-05,0.0006032882736847645,8.535630994144768e-05
-1017892.7819603,0.0002932666786456357,7.367205060974802e-05,0.0006032954180869835,8.535729696589398e-05
-1017559.4837343799,0.0002932703610688946,7.367292365100276e-05,0.0006033027214022602,8.535830594388609e-05
-1017226.1855084597,0.000293274123603264,7.367381568919303e-05,0.0006033101836393224,8.535933687672485e-05
-1016892.8872825395,0.0002932779662677564,7.367472672567501e-05,0.00060331780481116,8.536038976573248e-05
-1016559.5890566192,0.00029328188909838714,7.367565676143899e-05,0.0006033255849258605,8.536146461225595e-05
-1016226.290830699,0.0002932858920862146,7.367660579777551e-05,0.000603333523994293,8.53625614176794e-05
-1015892.9926047788,0.0002932899752235821,7.367757383584902e-05,0.0006033416220280894,8.536368018341816e-05
-1015559.6943788587,0.00029329413852855927,7.367856087690687e-05,0.0006033498790367382,8.536482091091503e-05
-1015226.3961529385,0.0002932983820042641,7.36795669222299e-05,0.0006033582950312801,8.536598360162474e-05
-1014893.0979270183,0.00029330270565259956,7.368059197317416e-05,0.0006033668700251353,8.536716825705398e-05
-1014559.799701098,0.0002933071094855748,7.368163603104226e-05,0.0006033756040285028,8.536837487871771e-05
-1014226.5014751778,0.00029331159350749314,7.36826990971558e-05,0.0006033844970526223,8.536960346818028e-05
-1013893.2032492576,0.00029331615772225264,7.368378117292994e-05,0.0006033935491104273,8.537085402701076e-05
-1013559.9050233375,0.000293320802139848,7.368488225972258e-05,0.0006034027602134521,8.53721265568083e-05
-1013226.6067974173,0.0002933255267649062,7.368600235895559e-05,0.0006034121303738929,8.537342105924057e-05
-1012893.308571497,0.0002933303316046587,7.368714147212862e-05,0.0006034216596057734,8.537473753594682e-05
-1012560.0103455768,0.00029333521666692467,7.368829960069541e-05,0.0006034313479201384,8.53760759886306e-05
-1012226.7121196566,0.0002933401819570781,7.368947674601524e-05,0.0006034411953303271,8.537743641900044e-05
-1011893.4138937364,0.00029334522748397727,7.369067290987941e-05,0.0006034512018511095,8.5378818828827e-05
-1011560.1156678163,0.00029335035325363647,7.369188809358547e-05,0.0006034613674946103,8.538022321987119e-05
