Zeit;Kanal B;A-0,180
(s);(V);(mV)

0,00000000;-11,61479000;-34,14617000
0,00002500;-11,61479000;-34,19231000
0,00005000;-11,61479000;-34,20768000
0,00007500;-11,61479000;-34,25382000
0,00010000;-11,61479000;-34,26920000
0,00012500;-11,61479000;-34,28458000
0,00015000;-11,61479000;-34,31533000
0,00017500;-11,61479000;-34,33071000
0,00020000;-11,61479000;-34,37686000
0,00022500;-11,61479000;-34,40761000
0,00025000;-11,61479000;-34,43837000
0,00027500;-11,61479000;-34,46912000
0,00030000;-11,61479000;-34,49988000
0,00032500;-11,61479000;-34,51526000
0,00035000;-11,61479000;-34,53064000
0,00037500;-11,61479000;-34,56139000
0,00040000;-11,61479000;-34,57677000
0,00042500;-11,61479000;-34,59215000
0,00045000;-11,61479000;-34,63830000
0,00047500;-11,61479000;-34,65368000
0,00050000;-11,61479000;-34,69981000
0,00052500;-11,61479000;-34,71519000
0,00055000;-11,61479000;-34,74594000
0,00057500;-11,61479000;-34,76132000
0,00060000;-11,61479000;-34,77670000
0,00062500;-11,61479000;-34,82283000
0,00065000;-11,61479000;-34,86898000
0,00067500;-11,61479000;-34,89974000
0,00070000;-11,61479000;-34,94587000
0,00072500;-11,61479000;-34,96125000
0,00075000;-11,61479000;-34,99201000
0,00077500;-11,61479000;-35,00739000
0,00080000;-11,61479000;-35,02276000
0,00082500;-11,61479000;-35,05352000
0,00085000;-11,61479000;-35,08427000
0,00087500;-11,61479000;-35,11505000
0,00090000;-11,61479000;-35,13042000
0,00092500;-11,61479000;-35,17656000
0,00095000;-11,61479000;-35,19194000
0,00097500;-11,61479000;-35,23807000
0,00100000;-11,61479000;-35,25345000
0,00102500;-11,61479000;-35,28420000
0,00105000;-11,61479000;-35,29958000
0,00107500;-11,61479000;-35,31496000
0,00110000;-11,61479000;-35,34573000
0,00112500;-11,61479000;-35,37649000
0,00115000;-11,61479000;-35,40724000
0,00117500;-11,61479000;-35,42262000
0,00120000;-11,61479000;-35,43800000
0,00122500;-11,61479000;-35,48413000
0,00125000;-11,61479000;-35,49951000
0,00127500;-11,61479000;-35,53027000
0,00130000;-11,61479000;-35,56102000
0,00132500;-11,61479000;-35,59179000
0,00135000;-11,61479000;-35,60717000
0,00137500;-11,61479000;-35,65331000
0,00140000;-11,61479000;-35,66868000
0,00142500;-11,61479000;-35,68406000
0,00145000;-11,61479000;-35,73019000
0,00147500;-11,61479000;-35,74557000
0,00150000;-11,61479000;-35,79171000
0,00152500;-11,61479000;-35,80709000
0,00155000;-11,61479000;-35,83786000
0,00157500;-11,61479000;-35,85323000
0,00160000;-11,61479000;-35,86861000
0,00162500;-11,61479000;-35,91475000
0,00165000;-11,61479000;-35,96088000
0,00167500;-11,61479000;-35,99164000
0,00170000;-11,61479000;-36,03777000
0,00172500;-11,61479000;-36,08392000
0,00175000;-11,61479000;-36,09930000
0,00177500;-11,61479000;-36,14543000
0,00180000;-11,61479000;-36,17619000
0,00182500;-11,61479000;-36,20694000
0,00185000;-11,61479000;-36,22232000
0,00187500;-11,61479000;-36,26846000
0,00190000;-11,61479000;-36,28383000
0,00192500;-11,61479000;-36,29921000
0,00195000;-11,61479000;-36,32998000
0,00197500;-11,61479000;-36,34536000
0,00200000;-11,61479000;-36,36074000
0,00202500;-11,61479000;-36,39149000
0,00205000;-11,61479000;-36,42225000
0,00207500;-11,61479000;-36,45301000
0,00210000;-11,61479000;-36,46838000
0,00212500;-11,61479000;-36,48376000
0,00215000;-11,61479000;-36,52990000
0,00217500;-11,61479000;-36,57605000
0,00220000;-11,61479000;-36,60680000
0,00222500;-11,61479000;-36,65294000
0,00225000;-11,61479000;-36,66831000
0,00227500;-11,61479000;-36,69907000
0,00230000;-11,61479000;-36,71445000
0,00232500;-11,61479000;-36,76058000
0,00235000;-11,61479000;-36,79134000
0,00237500;-11,61479000;-36,83749000
0,00240000;-11,61479000;-36,85286000
0,00242500;-11,61479000;-36,89900000
0,00245000;-11,61479000;-36,94513000
0,00247500;-11,61479000;-36,99126000
0,00250000;-11,61479000;-37,02202000
0,00252500;-11,61479000;-37,06817000
0,00255000;-11,61479000;-37,08355000
0,00257500;-11,61479000;-37,11430000
0,00260000;-11,61479000;-37,14506000
0,00262500;-11,61479000;-37,19120000
0,00265000;-11,61479000;-37,23733000
