# Time(s), Temperature(C), Error_t(s), Error_T(C)
0, 146, 1, 4.46
1, 143, 1, 4.43
2, 140, 1, 4.40
3, 138, 1, 4.38
5, 135, 1, 4.35
7, 130, 1, 4.30
10, 126, 1, 4.26
14, 120, 1, 4.20
17, 115, 1, 4.15
20, 109, 1, 4.10
25, 106, 1, 4.06
30, 100, 1, 4.00
35, 95, 1, 3.95
40, 88, 1, 3.88
45, 85, 1, 3.85
50, 82, 1, 3.82
55, 78, 1, 3.78
60, 75, 1, 3.75
65, 71, 1, 3.71
70, 68, 1, 3.68
75, 66, 1, 3.66
80, 63, 1, 3.63
85, 61, 1, 3.61
90, 59, 1, 3.59
95, 57, 1, 3.57
100, 55, 1, 3.55
105, 53, 1, 3.53
110, 51, 1, 3.51
115, 49, 1, 3.49
120, 48, 1, 3.48
125, 46, 1, 3.46
130, 45, 1, 3.45
135, 43, 1, 3.43
140, 42, 1, 3.42
145, 40, 1, 3
150, 39, 1, 3
155, 38, 1, 3
160, 37, 1, 3
165, 36, 1, 3
170, 35, 1, 3
175, 34, 1, 3
180, 33, 1, 3
185, 32, 1, 3
190, 31, 1, 3
195, 30, 1, 3
200, 29, 1, 3
205, 29, 1, 3
210, 28, 1, 3
215, 27, 1, 3
220, 27, 1, 3
225, 26, 1, 3
230, 25, 1, 3
235, 25, 1, 3
240, 24, 1, 3
250, 23, 1, 3
270, 21, 1, 3
295, 20, 1, 3
300, 19, 1, 3
310, 18, 1, 3
348, 16, 1, 3
387, 14, 1, 3
424, 13, 1, 3
450, 12, 1, 3
500, 11, 1, 3
555, 10, 1, 3
630, 9, 1, 3
720, 8, 1, 3
850, 7, 1, 3
