# Time(s), Temperature(C), Error_t, Error_T
0, 7, 1, 3
2, 10, 1, 3
4, 12, 1, 3
5, 15, 1, 3
9, 20, 1, 3
12, 25, 1, 3
15, 30, 1, 3
20, 35, 1, 3
24, 40, 1, 3
28, 45, 1, 3.45
31, 48, 1, 3.48
35, 52, 1, 3.52
38, 56, 1, 3.56
42, 60, 1, 3.60
48, 65, 1, 3.65
53, 70, 1, 3.70
57, 73, 1, 3.73
60, 75, 1, 3.75
65, 79, 1, 3.79
70, 83, 1, 3.83
75, 86, 1, 3.86
80, 91, 1, 3.91
85, 95, 1, 3.95
90, 99, 1, 3.99
95, 103, 1, 4.03
100, 107, 1, 4.07
105, 111, 1, 4.11
110, 114, 1, 4.14
115, 118, 1, 4.18
120, 121, 1, 4.21
125, 124, 1, 4.24
130, 127, 1, 4.27
135, 130, 1, 4.30
140, 133, 1, 4.33
145, 135, 1, 4.35
150, 137, 1, 4.37
155, 139, 1, 4.39
160, 141, 1, 4.41
165, 144, 1, 4.44
170, 146, 1, 4.46
175, 148, 1, 4.48
180, 149, 1, 4.49
182, 150, 1, 4.50
