# frequency,input_amplitude,output_amplitude
0.000000000000000000e+00,3.364600339257401568e-02,3.441584431618880530e-02
5.000000000000000000e+00,3.372787314924909075e-02,3.448869821211253406e-02
1.000000000000000000e+01,3.397273610181077153e-02,3.470631846085786565e-02
1.500000000000000000e+01,3.437832379834221408e-02,3.506586581609531100e-02
2.000000000000000000e+01,3.494075689590019768e-02,3.556255834332279486e-02
2.500000000000000000e+01,3.565439680501553132e-02,3.618959671551934265e-02
3.000000000000000000e+01,3.651163851401056926e-02,3.693806114872011381e-02
3.500000000000000000e+01,3.750264823194700975e-02,3.779678431517070891e-02
4.000000000000000000e+01,3.861505433336465815e-02,3.875220906283335237e-02
4.500000000000000000e+01,3.983360691488990746e-02,3.978824565605838109e-02
5.000000000000000000e+01,4.113982993105344543e-02,4.088615012408739618e-02
5.500000000000000000e+01,4.251170015035836414e-02,4.202445267707008436e-02
6.000000000000000000e+01,4.392339882498325770e-02,4.317897252502942568e-02
6.500000000000000000e+01,4.534519470555103265e-02,4.432296229417478223e-02
7.000000000000000000e+01,4.674353041612073351e-02,4.542743097125230556e-02
7.500000000000000000e+01,4.808139750447459893e-02,4.646169812174678199e-02
8.000000000000000000e+01,4.931909748694172230e-02,4.739423289556399937e-02
8.500000000000000000e+01,5.041549494703457396e-02,4.819382743160603028e-02
9.000000000000000000e+01,5.132987106194731447e-02,4.883114335288697705e-02
9.500000000000000000e+01,5.202447670765653759e-02,4.928064870789478080e-02
1.000000000000000000e+02,5.246785511074145147e-02,4.952292605896176092e-02
1.050000000000000000e+02,5.263894080425468580e-02,4.954727351665520058e-02
1.100000000000000000e+02,5.253182108978427661e-02,4.935443017830280082e-02
1.150000000000000000e+02,5.216083164033789160e-02,4.895912532257967048e-02
1.200000000000000000e+02,5.156529921216447543e-02,4.839197047393048456e-02
1.250000000000000000e+02,5.081269655649579831e-02,4.769999649939627578e-02
1.300000000000000000e+02,4.999826617155999492e-02,4.694494139164855778e-02
1.350000000000000000e+02,4.923856151248249408e-02,4.619836012362203703e-02
1.400000000000000000e+02,4.865655042337252434e-02,4.553299804111361759e-02
1.450000000000000000e+02,4.835801564576574368e-02,4.501089287444683812e-02
1.500000000000000000e+02,4.840349441408582642e-02,4.467031900449915799e-02
1.550000000000000000e+02,4.878510326900192123e-02,4.451530770683701649e-02
1.600000000000000000e+02,4.941895993854789754e-02,4.451188152892426864e-02
1.650000000000000000e+02,5.015873965555470160e-02,4.459351960669473425e-02
1.700000000000000000e+02,5.082732422343993334e-02,4.467530848358326062e-02
1.750000000000000000e+02,5.125783771685434032e-02,4.467342461550509458e-02
