# frequency(Hz) , input_amplitude(V) , output_amplitude(V)
1.000000000000000056e-01,1.570796327117878881e-05,1.570070489887708405e-05
2.000000000000000111e-01,1.000000000000000000e+00,9.981555045856851383e-01
3.000000000000000444e-01,1.570796327117683725e-05,1.564299787633679164e-05
4.000000000000000222e-01,3.333333327850219741e-01,3.308942198025592862e-01
5.000000000000000000e-01,1.570796327115637632e-05,1.552946735498319104e-05
5.999999999999999778e-01,1.999999990130395255e-01,1.967515894122216225e-01
7.000000000000000666e-01,1.570796327125119658e-05,1.536371304828287244e-05
8.000000000000000444e-01,1.428571414471993817e-01,1.388083270621166265e-01
9.000000000000000222e-01,1.570796327118377953e-05,1.515074455628187722e-05
1.000000000000000000e+00,1.111111092834065894e-01,1.063042491159441744e-01
1.100000000000000089e+00,1.570796327117839918e-05,1.489658513509663184e-05
1.200000000000000178e+00,9.090908866599897720e-02,8.540029776612834134e-02
1.300000000000000266e+00,1.570796327116374890e-05,1.460784286485457216e-05
1.400000000000000133e+00,7.692307426587574604e-02,7.077559581888263895e-02
1.500000000000000222e+00,1.570796327112968801e-05,1.429130219275865457e-05
1.600000000000000089e+00,6.666666359612311021e-02,5.994703664481306621e-02
1.700000000000000178e+00,1.570796327118462657e-05,1.395357534061487013e-05
1.800000000000000266e+00,5.882352592837496869e-02,5.159884922475316965e-02
1.900000000000000133e+00,1.570796327118086913e-05,1.360083570521132678e-05
2.000000000000000000e+00,5.263157505147202098e-02,4.496746523042693261e-02
2.100000000000000089e+00,1.570796327117428937e-05,1.323863895669662704e-05
2.200000000000000178e+00,4.761904331088705200e-02,3.957815005688956889e-02
2.300000000000000266e+00,1.570796327115644408e-05,1.287182510740851199e-05
2.400000000000000355e+00,4.347825614931976473e-02,3.511925003382180416e-02
2.500000000000000444e+00,1.570796327118929541e-05,1.250448743183710331e-05
2.600000000000000089e+00,3.999999486780589364e-02,3.137694991088524343e-02
2.700000000000000178e+00,1.570796327117631209e-05,1.213999128035983097e-05
2.800000000000000266e+00,3.703703149300020814e-02,2.819912472953717275e-02
2.900000000000000355e+00,1.570796327119173148e-05,1.178102630256852625e-05
3.000000000000000444e+00,3.448275266489416596e-02,2.547420660236644069e-02
3.100000000000000089e+00,1.570796327119328324e-05,1.142967798802654877e-05
3.200000000000000178e+00,3.225805814864265292e-02,2.311825970834859717e-02
3.300000000000000266e+00,1.570796327117577676e-05,1.108750760227273909e-05
3.400000000000000355e+00,3.030302352390848789e-02,2.106676327912170368e-02
3.500000000000000444e+00,1.570796327117614268e-05,1.075563276192550942e-05
3.600000000000000089e+00,2.857142138071727677e-02,1.926920789075349180e-02
3.700000000000000178e+00,1.570796327119351025e-05,1.043480363498608598e-05
3.800000000000000266e+00,2.702701942476474703e-02,1.768543392330966177e-02
3.900000000000000355e+00,1.570796327118499587e-05,1.012547190484121343e-05
4.000000000000000000e+00,2.564101762724495248e-02,1.628308351222584535e-02
