# Time(s), Position(m)
0, 1
0.1, 0.950415
0.2, 0.806578
0.3, 0.582754
0.4, 0.301137
0.5, -0.0103423
0.6, -0.320796
0.7, -0.599437
0.8, -0.818632
0.9, -0.956644
1, -0.999786
1.1, -0.94378
1.2, -0.794179
1.3, -0.56582
1.4, -0.28135
1.5, 0.0310225
1.6, 0.340318
1.7, 0.615865
1.8, 0.830336
1.9, 0.962464
2, 0.999144
2.1, 0.93674
2.2, 0.78144
2.3, 0.548645
2.4, 0.261441
2.5, -0.0516895
2.6, -0.359694
2.7, -0.632029
2.8, -0.841685
2.9, -0.967872
3, -0.998075
3.1, -0.9293
3.2, -0.768367
3.3, -0.531235
3.4, -0.241421
3.5, 0.0723343
3.6, 0.378917
3.7, 0.647922
3.8, 0.852673
3.9, 0.972865
4, 0.996579
4.1, 0.921462
4.2, 0.754965
4.3, 0.513598
4.4, 0.221298
4.5, -0.0929482
4.6, -0.397977
4.7, -0.663538
4.8, -0.863297
4.9, -0.977443
5, -0.994656
5.1, -0.91323
5.2, -0.74124
5.3, -0.495741
5.4, -0.20108
5.5, 0.113522
5.6, 0.416867
5.7, 0.67887
5.8, 0.873551
5.9, 0.981602
6, 0.992308
6.1, 0.904608
6.2, 0.727198
6.3, 0.477672
6.4, 0.180776
6.5, -0.134048
6.6, -0.435578
6.7, -0.693912
6.8, -0.883431
6.9, -0.985341
7, -0.989535
7.1, -0.895598
7.2, -0.712844
7.3, -0.459399
7.4, -0.160394
7.5, 0.154516
7.6, 0.454103
7.7, 0.708657
7.8, 0.892934
7.9, 0.988659
8, 0.986339
8.1, 0.886205
8.2, 0.698186
8.3, 0.440929
8.4, 0.139944
8.5, -0.174918
8.6, -0.472434
8.7, -0.723099
8.8, -0.902054
8.9, -0.991554
9, -0.982721
9.1, -0.876433
9.2, -0.683229
9.3, -0.42227
9.4, -0.119434
9.5, 0.195245
9.6, 0.490563
9.7, 0.737231
9.8, 0.910789
9.9, 0.994024
10, 0.978683
