# Matrikelnummer, Note
11754254, 4.0
11852122, 3.3
12020173, 5.0
12103215, 2.0
12133870, 5.0
12159121, 5.0
12174090, 5.0
12270155, 3.0
12284872, 2.7
12294056, 3.3
12296371, 5.0
12296371, 5.0
12297393, 2.3
12313238, 2.3
12324110, 3.0
12330676, 3.3
12362056, 2.7
12368438, 4.0
12390535, 2.7
12441780, 5.0
12447466, 2.7
12448543, 2.3
12458352, 2.7
12469268, 5.0
12473649, 5.0
12477584, 2.3
12534999, 2.0
12535239, 3.3
12553030, 2.3
12566082, 4.0
12571767, 2.7
12574233, 4.0
12582259, 3.7
12585011, 1.0
12587380, 4.0
12589879, 3.0
12591012, 5.0
12591807, 4.0
12601835, 2.3
12611146, 2.0
12615217, 2.7
12624201, 1.7
12625346, 2.7
12629953, 3.7
12652625, 3.3
12662631, 3.3
12670816, 5.0
12678428, 5.0
12678589, 1.7
12699797, 4.0
12700299, 2.0
12700852, 3.7
12701376, 1.3
12701713, 3.0
12701747, 2.7
12701840, 2.3
12702275, 2.3
12702468, 5.0
12702754, 3.3
12702909, 1.0
12703371, 3.0
12703441, 3.3
12704016, 3.0
12704247, 3.0
12704571, 1.0
12704868, 2.0
12705273, 2.7
12705339, 1.3
12705697, 2.0
12706435, 1.0
12706651, 1.3
12707090, 4.0
12707207, 3.0
12710074, 1.7
12710407, 5.0
12710784, 2.7
12711039, 2.3
12711537, 1.0
12712099, 2.0
12712262, 2.0
12712351, 1.3
12712510, 3.0
12713250, 2.0
12713496, 5.0
12714499, 5.0
12715133, 3.0
12715280, 5.0
12715523, 5.0
12717459, 2.3
12717590, 1.7
12718199, 2.0
12721238, 5.0
12721510, 2.3
12722476, 2.0
12723661, 5.0
12726161, 3.7
12727130, 2.3
12727304, 2.7
12727540, 5.0
12732158, 2.3
12732270, 4.0
12732290, 1.0
12733490, 1.7
12737575, 1.3
12742220, 1.7
12742840, 5.0
12743862, 4.0
12744742, 4.0
12745567, 4.0
12747863, 1.0
12748512, 5.0
12752518, 3.0
12752537, 1.7
12756326, 2.3
12758001, 3.0
12759447, 3.3
12761555, 1.0
12762651, 1.3
12764587, 2.3
12765274, 1.0
12767049, 5.0
12768658, 2.0
12769631, 3.7
12774019, 3.3
12774216, 1.3
12774254, 1.3
12776902, 2.0
12777962, 3.3
12778400, 5.0
12778429, 1.0
12778541, 3.3
12783836, 2.7
12784307, 1.7
12788562, 5.0
12789033, 3.3
12789601, 1.0
12790651, 2.3
12793490, 2.0
12794402, 3.0
12797519, 2.7
12801381, 2.3
12802346, 2.0
12806188, 2.3
12809453, 3.7
12812899, 2.3
12820128, 2.3
12820147, 3.0
12820397, 5.0
12820490, 2.3
12824100, 5.0
12832572, 1.0
12837487, 5.0
12905720, 5.0
12913375, 2.7
13044070, 2.7
