# Matrikelnr, Note
3761657, 18.5
11754254, 36
11777400, 26
12103215, 20.5
12159121, 20
12213951, 8.5
12227121, 22.5
12284872, 8.5
12294056, 8
12294713, 45
12368438, 12.5
12441780, 5
12458352, 15
12472330, 14
12477584, 9.5
12535239, 21
12580037, 33
12587380, 27
12591012, 13.5
12591807, 13
12636406, 10
12642110, 21.5
12652625, 19.5
12670816, 30
12678057, 5
12678428, 10
12682264, 32
12700299, 30
12701003, 13.5
12702754, 23
12705273, 9.5
12707211, 10.5
12711325, 28.5
12712243, 21.5
12715133, 16
12716297, 3
12731850, 21
12742840, 6
12745622, 19
12758232, 18
12762510, 54
12769631, 23
12773942, 11.5
12788562, 10
12789033, 19.5
12792267, 6.5
12793880, 21.5
12794686, 17.5
12806188, 14.5
12824947, 19.5
12835142, 5
12879757, 12.5
12880557, 20
12881870, 30
12884257, 17
12885974, 18.5
12886267, 23
12902883, 9.5
12903689, 26.5
12905720, 23
12907529, 22.5
12916994, 27
12918881, 21
12927429, 17.5
12929640, 40.5
12935124, 9
12935336, 21
12938921, 38
12941765, 9
12944123, 18.5
12948779, 9.5
12953866, 40
12959420, 16.5
12964663, 14
12965736, 12
12979230, 27.5
12986910, 10.5
12991209, 27.5
12991459, 27
12994419, 26
13002990, 12.5
13043627, 9.5
13047331, 5
13159541, 9.5
128000865, 14.5
